drugbank_id,drug_name,fda_app_n,atc_codes
DB10927,Iva annua pollen,BLA103753|BLA103753|BLA103753|BLA103753|BLA103753|BLA103753|BLA102223|BLA102223|BLA103753|BLA103888|BLA103888|BLA103888|BLA103888|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102223|BLA102192|BLA102223|BLA102192|BLA102192|BLA102211|BLA101376|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA101833|BLA101833|BLA101833,
DB10928,Bassia scoparia pollen,BLA102211|BLA103753|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101376|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102223|BLA102223|BLA102223|BLA103753|BLA103753|BLA103753|BLA103753|BLA103753|BLA103753|BLA102223|BLA102223|BLA103888|BLA103888|BLA103888|BLA103888|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA103753,
DB10929,Cyclachaena xanthifolia pollen,BLA101833|BLA101833|BLA101833|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102223|BLA102192|BLA102192|BLA102192|BLA101376|BLA102211|BLA103753|BLA103753|BLA103753|BLA103753|BLA103753|BLA102223|BLA102223|BLA103888|BLA103888|BLA103888|BLA103888|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10930,Amaranthus retroflexus whole,BLA102223,
DB10932,Cephalosporium roseum,BLA102211,
DB10933,Cochliobolus lunatus,BLA102211,
DB10934,Haematonectria haematococca,BLA102211|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101376,
DB10935,Chrysonilia sitophila,BLA102211,
DB10936,Pleospora betae,BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA102211|BLA101833|BLA101833|BLA101833,
DB10937,Puccinia striiformis var. striiformis,BLA102211,
DB10939,Pleospora tarda,BLA103888|BLA103888|BLA103888|BLA101376|BLA102211,
DB10940,Acacia pollen,BLA102211,
DB10941,Bassia hyssopifolia pollen,BLA102211,
DB10942,Brassica rapa pollen,BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA102211,
DB10943,Callistemon citrinus pollen,BLA102211|BLA103888|BLA103888,
DB10945,Dicoria canescens pollen,BLA102211,
DB10946,Krascheninnikovia lanata pollen,BLA102211,
DB10947,Ambrosia ambrosioides pollen,BLA102211,
DB10948,Ambrosia chamissonis pollen,BLA102211,
DB10949,Koeleria macrantha pollen,BLA102211|BLA101376,
DB10950,Phoenix dactylifera pollen,BLA102211|BLA101376,
DB10952,Quercus dumosa pollen,BLA102211,
DB10953,Suaeda moquinii pollen,BLA102211,
DB10954,Tilia cordata pollen,BLA102211,
DB10955,Apis mellifera venom,BLA103882|BLA103882|BLA103882|BLA103882|BLA103882|BLA103969|BLA123456,
DB10956,Vespula maculifrons venom protein,BLA123456|BLA103883|BLA103883|BLA103883|BLA103887|BLA103887|BLA103887|BLA103887|BLA103887,
DB10957,Dolichovespula arenaria venom protein,BLA123456|BLA103883|BLA103883|BLA103883|BLA103970|BLA103886|BLA103886|BLA103886|BLA103886|BLA103973,
DB10958,Dolichovespula maculata venom protein,BLA123456|BLA103883|BLA103883|BLA103883|BLA103970|BLA103885|BLA103885|BLA103885|BLA103885|BLA103885|BLA103972,
DB10959,Polistes fuscatus venom protein,BLA123456|BLA103884|BLA103884|BLA103884|BLA103884|BLA103884|BLA103971,
DB10961,Hordeum vulgare pollen,BLA101376,
DB10962,Agrostis stolonifera pollen,BLA101376,
DB10963,Phalaris minor pollen,BLA101376,
DB10964,Lolium perenne subsp. multiflorum pollen,BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101376|BLA103753|BLA103753,
DB10965,Sorghum bicolor subsp. bicolor pollen,BLA101376,
DB10966,Sorghum bicolor subsp. drummondii pollen,BLA102226|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223,
DB10967,Amphiachyris dracunculoides pollen,BLA101376,
DB10968,Iva angustifolia pollen,BLA101376,
DB10969,Neurospora sitophila,BLA101376|BLA101376,
DB10970,Trichophyton tonsurans,BLA103888|BLA103888|BLA103888|BLA101376,
DB10971,Mycogone nigra,BLA101376,
DB10972,Absidia capillata,BLA101376,
DB10973,Thermomyces lanuginosus,BLA101376,
DB10974,Trichosporon cutaneum,BLA101376,
DB10975,Tanacetum cinerariifolium flower,BLA101376|BLA102223|BLA103753|BLA103753|BLA103753,
DB10976,Largemouth bass,BLA102192,
DB10977,Cocoa,BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|BLA103753|BLA102223,
DB10979,Blue crab,BLA101833|BLA102192|BLA101833,
DB10980,Barley malt,BLA102192|BLA102192|BLA102192|BLA102223|BLA102192|BLA102192,
DB10981,Radish,BLA102192,
DB10982,Sage,BLA102192|BLA102192|BLA102223|BLA102192|BLA102192|BLA102192,
DB10983,Thyme,BLA102192|BLA102192|BLA102192|BLA102223|BLA102192|BLA102192,
DB10984,Peppermint,BLA102192|BLA102192|BLA102192|BLA102192|BLA102192|part356,
DB10985,Ulmus rubra pollen,BLA101376,
DB10986,Pseudotsuga menziesii pollen,BLA101376,
DB10987,Carya laciniosa pollen,BLA101376|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833,
DB10988,Maclura pomifera pollen,BLA101376,
