,DrugBank_id,Drug_ATC,Drug_name,Tipo,Gene_name,Accion,Prioridad
417832,DB04032,,Adamantane-1-Carboxylic Acid-5-Dimethylamino-Naphthalene-1-Sulfonylamino-Butyl-Amide,target,camC,,1.0
417833,DB04033,,Z-Ala Prolinal,target,pep,,1.0
417834,DB04034,,Ribulose-5-Phosphate,target,ulaD,,1.0
417835,DB04035,,Ceftazidime BATSI,target,ampC,,1.0
417836,DB04035,,Ceftazidime BATSI,target,bla,,1.0
417837,DB04035,,Ceftazidime BATSI,target,,,1.0
417838,DB04036,,Coenzyme A persulfide,target,IVD,,1.0
417839,DB04037,,"N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine",target,bla,,1.0
417841,DB04039,,3-Oxo-Pentadecanoic Acid,target,btuB,,1.0
417842,DB04039,,3-Oxo-Pentadecanoic Acid,target,ceaC,,1.0
417843,DB04039,,3-Oxo-Pentadecanoic Acid,target,fhuA,,1.0
417844,DB04040,,"N-[1,3-Di(4-morpholinyl)-2-propanyl]-3-(α-D-galactopyranosyloxy)-5-nitrobenzamide",target,eltB,,1.0
417845,DB04041,,Nitrocefin Acyl-Serine,target,pbp,,1.0
417846,DB04042,,"2-[4-(Hydroxy-Methoxy-Methyl)-Benzyl]-7-(4-Hydroxymethyl-Benzyl)-1,1-Dioxo-3,6-Bis-Phenoxymethyl-1lambda6-[1,2,7]Thiadiazepane-4,5-Diol",target,gag-pol,,1.0
417847,DB04043,,Carboxymycobactin T,target,LCN2,,1.0
417848,DB04044,,4-{2-[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid,target,PYGM,inhibitor,1.0
417849,DB04045,,(R)-methylmalonyl-CoA,target,,,1.0
417850,DB04047,,6-hydroxymethylpterin diphosphate,target,folP,inhibitor,1.0
417851,DB04047,,6-hydroxymethylpterin diphosphate,target,folK,,1.0
417852,DB04047,,6-hydroxymethylpterin diphosphate,target,folP,,1.0
417853,DB04048,,N-Carbamoyl-Alanine,target,PRDX2,,1.0
417854,DB04050,,N-Propyl Isocyanide,target,MB,,1.0
417855,DB04051,,5-phenylpentanoic acid,target,tyrB,,1.0
417856,DB04052,,"3,4-Xylenol",target,cobT,,1.0
417857,DB04053,,Hypophosphite,target,rhdA,,1.0
417858,DB04054,,"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine",target,HSP90AA1,,1.0
417859,DB04055,,"2,3-Dicarboxy-4-(2-Chloro-Phenyl)-1-Ethyl-5-Isopropoxycarbonyl-6-Methyl-Pyridinium",target,PYGM,,1.0
417860,DB04057,,"N-[4-([(2-Amino-4-oxo-1,4-dihydropyrido[3,2-d]pyrimidin-6-yl)methyl]{(2E)-3-[4-carbamoyl-1-(5-O-phosphono-beta-D-ribofuranosyl)-1H-imidazol-5-yl]-2-propenoyl}amino)benzoyl]-L-glutamic acid",target,ATIC,,1.0
417861,DB04058,,N-Carbamoylphenylalanine,target,CPA1,,1.0
417862,DB04058,,N-Carbamoylphenylalanine,target,,,1.0
417863,DB04059,,8-(Pyrimidin-2-Ylamino)Naphthalene-2-Carboximidamide,target,PLAU,,1.0
417864,DB04062,,beta-D-fucose,target,araF,,1.0
417865,DB04062,,beta-D-fucose,target,araC,,1.0
417866,DB04063,,alpha-Methylleucine,target,ilvE,,1.0
417867,DB04064,,Nogalaviketone,target,snoaL,,1.0
417868,DB04065,,N-Cyclopentyl-N-Cyclobutylformamide,target,ADH1A,,1.0
417869,DB04066,,p-Coumaric acid,target,CA4,inhibitor,1.0
417870,DB04066,,p-Coumaric acid,target,CA1,inhibitor,1.0
417871,DB04066,,p-Coumaric acid,target,CA6,inhibitor,1.0
417872,DB04066,,p-Coumaric acid,target,CA9,inhibitor,1.0
417873,DB04066,,p-Coumaric acid,target,CA14,inhibitor,1.0
417874,DB04066,,p-Coumaric acid,target,CA2,inhibitor,1.0
417875,DB04066,,p-Coumaric acid,target,CA12,inhibitor,1.0
417876,DB04066,,p-Coumaric acid,target,PTGR1,,1.0
417877,DB04066,,p-Coumaric acid,target,hutH,,1.0
417878,DB04066,,p-Coumaric acid,target,pyp,,1.0
417879,DB04066,,p-Coumaric acid,target,pph,,1.0
417880,DB04067,,4-hydroxybenzyl coenzyme A,target,fcbC,,1.0
